Review,Sentiment,Cleaned_Review
This product is amazing and works perfectly,positive,product amazing work perfectly
"Absolutely loved it, highly recommend",positive,absolutely loved highly recommend
Great value for money,positive,great value money
Very satisfied with the performance,positive,satisfied performance
Excellent build quality,positive,excellent build quality
Superb experience using this,positive,superb experience using
Really happy with the purchase,positive,really happy purchase
"Fantastic product, will buy again",positive,fantastic product buy
"Works as expected, very good",positive,work expected good
Nice product and fast delivery,positive,nice product fast delivery
Worst product I have ever bought,negative,worst product ever bought
Completely useless and waste of money,negative,completely useless waste money
Very poor quality,negative,poor quality
Stopped working after one day,negative,stopped working one day
Extremely disappointed,negative,extremely disappointed
"Bad experience, not recommended",negative,bad experience recommended
Terrible product,negative,terrible product
Not worth the price,negative,worth price
Cheap material used,negative,cheap material used
Product arrived damaged,negative,product arrived damaged
"It is okay, average quality",neutral,okay average quality
"Nothing special, just fine",neutral,nothing special fine
Product is decent for the price,neutral,product decent price
Average performance,neutral,average performance
"Not too good, not too bad",neutral,good bad
Works fine but has some issues,neutral,work fine issue
Quality is acceptable,neutral,quality acceptable
Just an ordinary product,neutral,ordinary product
Satisfactory but could be better,neutral,satisfactory could better
Neither good nor bad,neutral,neither good bad
